#SOD    DOY YEAR  NSATS   RX-LAT[DEG]     RX-LON[DEG]   RX-ALT[m]       EPE[m]   NPE[m]   UPE[m]  SIG-EPE  SIG-NPE  SIG-UPE   GDOP      PDOP     TDOP     HDOP     VDOP
   5.0   6 2015    8    43.428568801     1.497028693   250.043600000    0.438    0.230   -3.411    3.498    3.699    7.396    2.049    1.796    0.987    1.011    1.484
  10.0   6 2015    8    43.428568015     1.497026525   250.472300000    0.263    0.142   -2.983    3.499    3.697    7.390    2.048    1.795    0.986    1.011    1.483
  15.0   6 2015    8    43.428574473     1.497028576   251.012900000    0.429    0.860   -2.442    3.499    3.696    7.384    2.046    1.794    0.985    1.010    1.482
  20.0   6 2015    8    43.428567304     1.497028372   249.918400000    0.412    0.063   -3.537    3.500    3.695    7.377    2.045    1.792    0.984    1.010    1.481
  25.0   6 2015    8    43.428567246     1.497032441   249.252800000    0.742    0.057   -4.202    3.500    3.693    7.371    2.044    1.791    0.984    1.010    1.479
  30.0   6 2015    8    43.428566870     1.497024095   250.145600000    0.066    0.015   -3.309    3.501    3.692    7.365    2.042    1.790    0.983    1.010    1.478
  35.0   6 2015    8    43.428569297     1.497028513   250.611300000    0.424    0.285   -2.844    3.501    3.691    7.358    2.041    1.789    0.982    1.010    1.477
  40.0   6 2015    8    43.428567552     1.497028783   250.274500000    0.446    0.091   -3.180    3.501    3.690    7.352    2.039    1.788    0.981    1.010    1.476
  45.0   6 2015    8    43.428565713     1.497025152   251.608900000    0.151   -0.113   -1.846    3.502    3.689    7.346    2.038    1.787    0.980    1.010    1.474
  50.0   6 2015    8    43.428571892     1.497026481   250.679800000    0.259    0.573   -2.775    3.502    3.687    7.339    2.037    1.786    0.979    1.010    1.473
  55.0   6 2015    8    43.428568821     1.497027072   250.892000000    0.307    0.232   -2.563    3.503    3.686    7.333    2.035    1.785    0.978    1.010    1.472
  60.0   6 2015    8    43.428566505     1.497028668   250.112200000    0.436   -0.025   -3.343    3.503    3.685    7.327    2.034    1.784    0.977    1.010    1.470
  65.0   6 2015    8    43.428569334     1.497030305   249.123100000    0.569    0.289   -4.332    3.504    3.684    7.321    2.033    1.782    0.977    1.009    1.469
  70.0   6 2015    8    43.428567391     1.497026534   251.076700000    0.263    0.073   -2.378    3.504    3.683    7.314    2.031    1.781    0.976    1.009    1.468
  75.0   6 2015    8    43.428562745     1.497024962   249.297500000    0.136   -0.443   -4.157    3.505    3.681    7.308    2.030    1.780    0.975    1.009    1.467
  80.0   6 2015    8    43.428571703     1.497024783   250.312200000    0.122    0.552   -3.143    3.505    3.680    7.302    2.028    1.779    0.974    1.009    1.465
  85.0   6 2015    8    43.428568285     1.497022322   250.012300000   -0.078    0.172   -3.443    3.506    3.679    7.295    2.027    1.778    0.973    1.009    1.464
  90.0   6 2015    8    43.428568673     1.497023323   250.225500000    0.003    0.215   -3.230    3.506    3.678    7.289    2.026    1.777    0.972    1.009    1.463
  95.0   6 2015    8    43.428567226     1.497025285   249.224100000    0.162    0.055   -4.231    3.507    3.676    7.283    2.024    1.776    0.971    1.009    1.462
 100.0   6 2015    8    43.428570080     1.497026304   251.093700000    0.245    0.372   -2.361    3.507    3.675    7.276    2.023    1.775    0.970    1.009    1.460
 105.0   6 2015    8    43.428570937     1.497025983   249.895000000    0.219    0.467   -3.560    3.507    3.674    7.270    2.021    1.774    0.970    1.009    1.459
 110.0   6 2015    8    43.428565443     1.497024137   250.905300000    0.069   -0.143   -2.550    3.508    3.673    7.264    2.020    1.773    0.969    1.008    1.458
 115.0   6 2015    8    43.428565457     1.497023169   249.627900000   -0.009   -0.142   -3.827    3.508    3.672    7.258    2.019    1.772    0.968    1.008    1.457
 120.0   6 2015    8    43.428564191     1.497031140   250.053100000    0.636   -0.282   -3.402    3.509    3.671    7.251    2.017    1.770    0.967    1.008    1.455
 125.0   6 2015    8    43.428565295     1.497027370   249.977800000    0.331   -0.160   -3.477    3.509    3.670    7.245    2.016    1.769    0.966    1.008    1.454
 130.0   6 2015    8    43.428571197     1.497025170   250.215400000    0.153    0.496   -3.240    3.510    3.668    7.239    2.015    1.768    0.965    1.008    1.453
 135.0   6 2015    7    43.428567261     1.497028761   254.621500000    0.444    0.059    1.167    3.556    4.507    9.766    2.634    2.266    1.344    1.139    1.958
 140.0   6 2015    7    43.428565130     1.497027207   252.408600000    0.318   -0.178   -1.046    3.557    4.508    9.762    2.633    2.265    1.343    1.139    1.958
 145.0   6 2015    7    43.428557322     1.497028444   253.269800000    0.418   -1.046   -0.185    3.558    4.509    9.758    2.633    2.265    1.343    1.140    1.957
 150.0   6 2015    7    43.428565544     1.497027586   252.858200000    0.349   -0.132   -0.597    3.559    4.510    9.754    2.632    2.264    1.342    1.140    1.956
 155.0   6 2015    7    43.428568263     1.497027924   253.973800000    0.376    0.170    0.519    3.560    4.511    9.750    2.631    2.263    1.341    1.140    1.955
 160.0   6 2015    7    43.428561778     1.497028688   252.831800000    0.438   -0.550   -0.623    3.561    4.512    9.746    2.630    2.263    1.341    1.141    1.954
 165.0   6 2015    7    43.428559427     1.497033293   252.835400000    0.811   -0.812   -0.620    3.562    4.513    9.742    2.630    2.262    1.340    1.141    1.954
 170.0   6 2015    7    43.428561448     1.497028539   253.258300000    0.426   -0.587   -0.197    3.563    4.514    9.737    2.629    2.262    1.340    1.141    1.953
 175.0   6 2015    7    43.428560113     1.497032363   251.851600000    0.735   -0.736   -1.603    3.564    4.516    9.733    2.628    2.261    1.339    1.141    1.952
 180.0   6 2015    7    43.428564457     1.497029876   253.116000000    0.534   -0.253   -0.339    3.565    4.517    9.729    2.627    2.261    1.338    1.142    1.951
 185.0   6 2015    7    43.428564219     1.497025091   253.062900000    0.146   -0.279   -0.392    3.566    4.518    9.725    2.626    2.260    1.338    1.142    1.950
 190.0   6 2015    7    43.428571722     1.497027476   252.583700000    0.340    0.554   -0.871    3.567    4.519    9.721    2.626    2.260    1.337    1.142    1.950
 195.0   6 2015    7    43.428565011     1.497029396   253.245000000    0.495   -0.191   -0.210    3.567    4.520    9.717    2.625    2.259    1.337    1.143    1.949
 200.0   6 2015    7    43.428564839     1.497028248   253.022600000    0.402   -0.210   -0.432    3.568    4.521    9.713    2.624    2.259    1.336    1.143    1.948
 205.0   6 2015    7    43.428563360     1.497025744   253.590900000    0.200   -0.375    0.136    3.569    4.522    9.709    2.623    2.258    1.335    1.143    1.947
 210.0   6 2015    7    43.428561366     1.497025810   253.098700000    0.205   -0.596   -0.356    3.570    4.524    9.705    2.623    2.257    1.335    1.144    1.946
 215.0   6 2015    7    43.428561176     1.497027222   253.239000000    0.319   -0.617   -0.216    3.571    4.525    9.701    2.622    2.257    1.334    1.144    1.945
 220.0   6 2015    7    43.428561232     1.497029210   251.902600000    0.480   -0.611   -1.552    3.572    4.526    9.697    2.621    2.256    1.334    1.144    1.945
 225.0   6 2015    7    43.428562168     1.497030032   253.379300000    0.547   -0.507   -0.076    3.573    4.527    9.693    2.620    2.256    1.333    1.145    1.944
 230.0   6 2015    7    43.428559480     1.497024564   253.018300000    0.104   -0.806   -0.437    3.574    4.528    9.688    2.619    2.255    1.333    1.145    1.943
 235.0   6 2015    7    43.428563777     1.497025244   253.258400000    0.159   -0.328   -0.197    3.575    4.529    9.684    2.619    2.255    1.332    1.145    1.942
 240.0   6 2015    7    43.428562194     1.497026246   252.219900000    0.240   -0.504   -1.235    3.576    4.531    9.680    2.618    2.254    1.331    1.145    1.941
 245.0   6 2015    7    43.428559461     1.497021107   252.401800000   -0.176   -0.808   -1.053    3.577    4.532    9.676    2.617    2.254    1.331    1.146    1.941
 250.0   6 2015    7    43.428564295     1.497028991   251.852600000    0.462   -0.271   -1.602    3.578    4.533    9.672    2.616    2.253    1.330    1.146    1.940
 255.0   6 2015    7    43.428563697     1.497026459   251.900600000    0.257   -0.337   -1.554    3.579    4.534    9.668    2.616    2.252    1.330    1.146    1.939
 260.0   6 2015    7    43.428562916     1.497029386   252.477400000    0.494   -0.424   -0.978    3.580    4.536    9.664    2.615    2.252    1.329    1.147    1.938
 265.0   6 2015    7    43.428565028     1.497025915   251.605000000    0.213   -0.189   -1.850    3.581    4.537    9.660    2.614    2.251    1.329    1.147    1.937
 270.0   6 2015    7    43.428559096     1.497027391   252.613400000    0.333   -0.849   -0.842    3.582    4.538    9.656    2.613    2.251    1.328    1.147    1.937
 275.0   6 2015    7    43.428563825     1.497028543   252.000700000    0.426   -0.323   -1.454    3.583    4.539    9.652    2.613    2.250    1.327    1.148    1.936
 280.0   6 2015    7    43.428566171     1.497023413   251.446300000    0.011   -0.062   -2.009    3.584    4.541    9.648    2.612    2.250    1.327    1.148    1.935
 285.0   6 2015    7    43.428566128     1.497029997   251.845800000    0.544   -0.067   -1.609    3.585    4.542    9.644    2.611    2.249    1.326    1.148    1.934
 290.0   6 2015    7    43.428566517     1.497025177   251.575800000    0.154   -0.024   -1.879    3.586    4.543    9.640    2.610    2.249    1.326    1.149    1.933
 295.0   6 2015    7    43.428564296     1.497026841   252.718800000    0.288   -0.271   -0.736    3.587    4.544    9.636    2.610    2.248    1.325    1.149    1.933
 300.0   6 2015    7    43.428562456     1.497028869   251.515000000    0.453   -0.475   -1.940    3.588    4.546    9.632    2.609    2.248    1.324    1.149    1.932
 305.0   6 2015    7    43.428571209     1.497023807   251.566900000    0.043    0.497   -1.888    3.589    4.547    9.628    2.608    2.247    1.324    1.149    1.931
 310.0   6 2015    7    43.428567409     1.497027376   252.848200000    0.332    0.075   -0.607    3.590    4.548    9.624    2.607    2.247    1.323    1.150    1.930
 315.0   6 2015    7    43.428567631     1.497029289   252.607200000    0.486    0.100   -0.848    3.591    4.550    9.620    2.607    2.246    1.323    1.150    1.929
 320.0   6 2015    7    43.428560785     1.497027781   251.390300000    0.364   -0.661   -2.065    3.592    4.551    9.616    2.606    2.246    1.322    1.151    1.929
 325.0   6 2015    7    43.428565288     1.497027736   252.664000000    0.361   -0.161   -0.791    3.593    4.552    9.612    2.605    2.245    1.322    1.151    1.928
